a	Một
dangler	người treo lủng lẳng
dangling(a)	lủng lẳng(a)
daniel	daniel
danish	người Đan Mạch
dank	ngâm
dankness	sự ẩm ướt
dans	dans
danseur	danseur
danseuse	danseuse
dante	điệu nhảy
dantescan	dantescan
danu	danu
danube	sông danube
dap	dap
daphne	daphne
daphnia	daphnia
dapper	đoan trang
dapperling	bảnh bao
dapple	lốm đốm
dapple-gray	lốm đốm xám
dappled	lốm đốm
dappui	dappui
daraf	daraf
darby	người yêu
dard	liều lĩnh
dardanelles	dardanelles
dare	dám
daredevil	liều lĩnh
daredevilry	liều lĩnh
dargent	đậm
dari	dari
daring	táo bạo
daringly	táo bạo
dark	tối tăm
dark-haired	tóc đen
dark-skinned	da đen
darken	làm tối
darkened	tối tăm
darkening	làm tối
darkie	người da đen
darkish	tối tăm
darkle	bóng tối
darkling	bóng tối
darkly	bóng tối
darkness	bóng tối
darkroom	căn phòng tối
darksome	đen tối
darky	bóng tối
darling	Người thân yêu
darlingtonia	em yêu
darmee	người yêu
darmera	da đầu
darmes	người đẹp
darn	chết tiệt
darnel	cỏ lùng
darning	đáng sợ
dart	phi tiêu
dartboard	bảng phi tiêu
darting	phi tiêu
dartle	con phi tiêu
dartre	phi tiêu
darts	phi tiêu
darwin	darwin
darwinian	người darwin
darwinism	chủ nghĩa darwin
das	das
dash	dấu gạch ngang
dash-pot	gạch ngang
dashboard	bảng điều khiển
dashed	tiêu tan
dasher	người lao công
dashing	bảnh bao
dashingf	bảnh bao
dashingly	bảnh bao
dastard	đê tiện
dastard(a)	khốn nạn(a)
dastardliness	sự đê tiện
dastardly	đê tiện
dastardness	sự đê tiện
dastardy	đê tiện
dasturi	dasturi
dasyatidae	dasyatidae
dasyatis	dasyatis
dasymeter	máy đo độ đối xứng
dasypodidae	dasypodidae
dasyprocta	dasyprocta
dasyproctidae	dasyproctidae
dasypus	cây cúc dại
dasyure	dasyure
dasyuridae	dasyuridae
dasyurus	dasyurus
dat	dat
data	dữ liệu
database	cơ sở dữ liệu
datable	dữ liệu
date	ngày
dated	ngày
dateless	không ghi ngày tháng
dateline	dòng thời gian
dative	tặng cách
datum	mốc thời gian
datura	cà độc dược
daub	tô
daube	dầu bôi trơn
daubed	bôi nhọ
daubentonia	dabentonia
daubentoniidae	daubentoniidae
dauber	người da trắng
daubing	bôi nhọ
daucus	daucus
daughter	con gái
daughter-in-law	con dâu
daughterly	con gái
daunt	nản chí
daunting	khó khăn
dauntingly	một cách khó khăn
dauntless	dũng cảm
dauntlessness	sự dũng cảm
dauphin	dauphin
davallia	davallia
davalliaceae	họ bìm bịp
davarice	đa tài
davenport	davenport
david	david
davids	david
daviesia	daviesia
davit	davit
davus	davus
davy	davy
dawdle	lảo đảo
dawdler	người đi lang thang
dawdling	lảo đảo
dawn	bình minh
dawns	bình minh
dawplucker	người ngu ngốc
daws	daws
day	ngày
day-old	ngày cũ
daybed	đi văng
daybook	nhật ký
dayboy	ban ngày
daybreak	bình minh
daycare	nhà trẻ
daydreamer	người mơ mộng
daygirl	ban ngày
daylight	ban ngày
daylong	ban ngày
days	ngày
dayspring	bình minh
daytime	ban ngày
daze	mê mẩn
dazed	bàng hoàng
dazedly	choáng váng
dazzle	lóa mắt
dazzled	lóa mắt
dazzlement	làm lóa mắt
dazzling	chói sáng
dazzlingly	rực rỡ
db	db
dc	dc
dciived	dciive
dd	đ
de	de
de-escalation	giảm leo thang
de-iodinase	khử i-ốt
de-iodinating	khử i-ốt
de-iodination	khử i-ốt
deacon	phó tế
deaconess	nữ chấp sự
deaconry	chấp sự
deaconship	chấp sự
deactivate	hủy kích hoạt
deactivation	chấm dứt hoạt
dead	chết
dead(a)	chết (a)
dead(p)	chết (p)
dead-man's-fingers	ngón tay của người chết
dead-on(a)	bế tắc(a)
deaden	làm chết
deadened	chết
deadhead	xác chết
deadlight	sự chết chóc
deadline	thời hạn
deadliness	sự chết chóc
deadlock	bế tắc
deadlocked	bế tắc
deadly	chết người
deadness	sự chết chóc
deadpan	khoảng chết
deads	người chết
deaf	điếc
deaf(p)	điếc(p)
deaf-and-dumb	điếc và câm
deaf-mutism	câm điếc
deafen	điếc tai
deafened	bị điếc
deafening	chói tai
deafmute	câm điếc
deafness	điếc
deal	thỏa thuận
dealer	người buôn bán
dealfish	cá chốt
dealignment	sự sắp xếp
dealing	xử lý
dealings	giao dịch
dean	trưởng khoa
deanery	trưởng khoa
deanship	trưởng khoa
dear	Thân mến
dearborn	thân yêu
dearest	thân yêu nhất
dearly	thân yêu
dearly-won	chiến thắng thân yêu
dearness	thương yêu
dearth	sự khan hiếm
deat	chết
death	cái chết
death-roll	danh sách người chết
deathbed	giường chết
deathblow	chết đòn
deathless	bất tử
deathlike	giống như cái chết
deathly	chết người
deathrate	tỉ lệ tử vong
deaths	cái chết
deathtrap	cái bẫy chết chóc
deau	deau
debacle	thất bại
debar	thảo luận
debark	khởi hành
debarkation	hạ thủy
debarment	cấm vận
debase	giảm giá trị
debased	hạ thấp phẩm giá
debasement	hạ thấp giá trị
debasing	hạ thấp giá trị
debatable	gây tranh cãi
debate	tranh luận
debater	người tranh luận
debates	cuộc tranh luận
debauch	trác táng
debauched	trụy lạc
debauchee	trụy lạc
debauchery	trụy lạc
debenture	giấy nợ
debile	suy nhược
debilitate	suy nhược
debilitated	suy nhược
debilitating	suy nhược
debilitation	suy nhược
debilitative	suy nhược
debility	suy nhược
debit	ghi nợ
debitor	con nợ
debitorem	ghi nợ
debole	bãi bỏ
debonair	phóng khoáng
debonnaire	tấm bia
debouch	gỡ rối
debouche	sự trừng phạt
debout	ra mắt
debriefing	phỏng vấn
debris	mảnh vụn
debt	món nợ
debtor	con nợ
debts	các khoản nợ
debugger	trình sửa lỗi
debut	ra mắt
debutant	người ra mắt
debutante	người ra mắt
decade	thập kỷ
decadence	suy đồi
decadency	suy đồi
decadent	suy đồi
decagon	thập giác
decahedron	thập diện
decal	đề can
decalogue	đề can
decameter	decameter
decamp	hạ trại
decampment	hạ trại
decant	gạn
decanter	bình gạn
decapitate	chặt đầu
decapitation	chặt đầu
decapod	giải mã
decapoda	decapoda
decapterus	decapterus
decarbonized	khử cacbon
decasyllabic	phân rã
decasyllable	phân tách âm tiết
decathlon	mười môn phối hợp
decay	phân rã
decayable	có thể phân hủy
decayed	mục nát
decease	chết
deceased	người chết
deceit	gian dối
deceitful	dối trá
deceive	lừa dối
deceived	lừa dối
deceiver	kẻ lừa dối
deceiving	lừa dối
deceleration	giảm tốc
december	tháng 12
decency	Đứng đắn
decenniumm	thiên niên kỷ
decent	tử tế
decently	đàng hoàng
decentralization	phân quyền
decentralize	phân quyền
decentralized	phi tập trung
decentralizing(a)	phi tập trung hóa(a)
deceptio	lừa bịp
deception	lừa dối
deceptious	dối trá
deceptive	lừa đảo
deceptively	lừa bịp
deceptiveness	sự dối trá
decession	suy tàn
decet	người đi vệ sinh
dechristianize	bài trừ thiên chúa giáo
decibel	đề-xi-ben
decide	quyết định
decided	quyết định
decidedly	quả quyết
deciduous	rụng lá
decies	quyết định
decigram	đề xi
deciliter	đề xi lít
decimal	số thập phân
decimalization	thập phân hóa
decimate	phá huỷ phần lớn
decimation	thập phân
decimeter	đề xi mét
decipher	giải mã
deciphered	giải mã
decipimur	giải mã
decision	phán quyết
decisis	quyết định
decisive	quả quyết
decisively	dứt khoát
decisiveness	sự quyết đoán
decison	quyết định
decit	quyết định
deck	boong tàu
deck-house	nhà boong
decker	thợ đóng tàu
deckhand	bàn tay
deckle	bộ bài
deckled	xếp chồng lên nhau
deckleedged	có mái che
decks	bộ bài
declaim	tuyên bố
declamation	tuyên bố
declamatory	khoa trương
declarable	có thể khai báo
declaration	tuyên ngôn
declarative	tuyên bố
declaratory	tuyên bố
declare	tuyên bố
declared	khai báo
declassification	giải mật
declassified	giải mật
declension	suy giảm
declensions	suy giảm
declination	sự suy giảm
declinature	suy giảm
decline	sự suy sụp
declining	suy giảm
declining(a)	suy giảm (a)
declinometer	máy đo độ nghiêng
declivitous	suy sụp
declivity	xiên
declivous	phân rã
decoction	thuốc sắc
decoder	bộ giải mã
decoding	giải mã
decollate	tách rời
decollation	sự tách rời
decolletage	bộ ngực
decollete	bộ ngực
decolonization	phi thực dân hóa
decoloration	tẩy màu
decolorize	khử màu
decompose	phân hủy
decomposed	bị phân hủy
decomposing	phân hủy
decomposition	phân hủy
decompositional	phân hủy
decompound	phân hủy
decompression	giảm bớt sức ép
decongestant	thuốc thông mũi
deconsecrate	tẩy uế
deconsecrated	giải mã
deconsecration	tẩy uế
deconstruction	giải cấu trúc
deconstructionist	nhà giải cấu trúc
decontamination	tẩy uế
decorate	trang trí
decoration	trang trí
decorative	trang trí
decorativeness	tính chất trang trí
decorator	người trang trí
decorous	đoan trang
decorously	trang nhã
decorticate	xay
decortication	trang trí
decorum	đàng hoàng
decoy	mồi nhử
decoyduck	chim mồi
decrassify	giải mật
decrease	giảm bớt
decreased	giảm
decreasing	giảm dần
decree	Án Lệnh
decrement	giảm bớt
decrepid	suy tàn
decrepit	suy tàn
decrepitation	sự hao mòn
decrepitude	suy tàn
decrescendo	giảm dần
decretal	phân biệt
decretive	mệnh lệnh
decretory	hạ lệnh
decry	chê bai
decuma	decuma
decumaria	decumaria
decumary	thập phân
decumbence	suy sụp
decumbency	suy sụp
decumbent	decumbent
decuple	tách rời
decuration	phân hủy
decurrent	suy biến
decursive	suy luận
decurtate	dao cắt
decurved	bị cong
decussate	decussate
decussation	thảo luận
ded	chết
dedecoration	trang trí
dedecorous	không đứng đắn
dedicate	cống hiến
dedicated	tận tụy
dedication	cống hiến
dedifferentiated	phân biệt
dedifferentiation	sự khác biệt hóa
dedit	ghi nợ
deduce	suy ra
deducible	có thể khấu trừ
deduct	khấu trừ
deducted	khấu trừ
deductible	khấu trừ
deduction	khấu trừ
deductive	suy luận
dee	con yêu
deed	chứng thư
deeds	việc làm
deem	cho là
deep	sâu
deep-eyed	mắt sâu
deep-laid	sâu sắc
deep-mined	khai thác sâu
deep-rooted	thâm căn cố đế
deep-sea	biển sâu
deep-set	sâu sắc
deep-water	nước sâu
deepcolored	màu đậm
deepdyed	nhuộm đậm
deepen	đào sâu
deepening	đào sâu
deepening(a)	đào sâu (a)
deepest	sâu nhất
deepfreeze	đóng băng sâu
deeplaid	trang trí sâu
deeply	sâu sắc
deepmouthed	sâu miệng
deepness	không sâu
deepread	đọc sâu
deeprooted	cắm rễ sâu
deepsounding	sâu lắng
deeptoned	sâu sắc
deer	con nai
deerberry	dâu tây
deerskin	da hươu
deerstalker	người săn hươu
deerstalking	rình rập
deev	người phát minh
deface	làm xấu mặt
defaced	bị biến dạng
defacement	làm xấu mặt
defalcation	xì hơi
defamation	phỉ báng
defamatory	phỉ báng
defame	phỉ báng
defamer	kẻ phỉ báng
defatigation	tiêu hao
default	mặc định
defaulter	kẻ mặc định
defeasance	thủ tiêu
defeasible	có thể thủ tiêu
defeat	đánh bại
defeated	bị đánh bại
defeatism	chủ nghĩa thất bại
defeatist	kẻ bại trận
defecate	đại tiện
defecation	đại tiện
defect	khuyết điểm
defection	đào tẩu
defective	khiếm khuyết
defectively	khiếm khuyết
defectiveness	khiếm khuyết
defend	phòng vệ
defendable	có thể bào chữa được
defendant	bị cáo
defended	bảo vệ
defender	hậu vệ
defending	bảo vệ
defense	phòng thủ
defenseless	không phòng bị
defenselessness	không phòng bị
defensible	có thể phòng thủ được
defensive	phòng ngự
defensively	phòng thủ
defensor	người bào chữa
defer	hoãn lại
deference	sự kính trọng
deferent	trì hoãn
deferential	cung kính
deferentially	cung kính
deferor	trì hoãn
deferral	trì hoãn
deferred	hoãn lại
deferring	trì hoãn
deffle	làm chệch hướng
defiance	thách thức
defiant	khiêu khích
defibrillation	khử rung tim
defibrillator	máy khử rung tim
deficiencies	thiếu sót
deficiency	sự thiếu hụt
deficient	thiếu
deficit	thiếu hụt hoặc khuyết
defie	bất chấp
defigure	biến dạng
defilade	làm ô uế
defile	làm ô uế
defiled	ô uế
defilement	ô uế
definable	có thể xác định được
define	định nghĩa
defined	xác định
definite	chắc chắn
definiteness	sự xác định
definition	sự định nghĩa
definitive	dứt khoát
deflagration	xì hơi
deflated	xì hơi
deflation	giảm phát
deflationary	giảm phát
deflator	giảm phát
deflect	làm chệch hướng
deflection	lệch
deflective	làm chệch hướng
deflector	làm lệch hướng
deflendus	deflendus
deflexion	uốn cong
deflexure	uốn cong
defloration	sự lệch hướng
deflower	rụng hoa
defluat	xì hơi
defluxion	lệch hướng
defoedation	phá hoại
defoliant	thuốc làm rụng lá
defoliate	rụng lá
defoliation	rụng lá
defoliator	thuốc rụng lá
deforestation	phá rừng
deform	biến dạng
deformation	sự biến dạng
deformational	biến dạng
deformed	biến dạng
deforming	biến dạng
deformity	dị dạng
defraud	ăn gian
defray	chống lại
defrayment	sự phá rối
defroster	rã đông
deft	khéo léo
deftly	khéo léo
defunct	không còn tồn tại
defy	bất chấp
defying	bất chấp
degage	thoái hóa
degaussing	khử từ
degeneracy	thoái hóa
degenerate	thoái hóa
degenerateness	sự thoái hóa
degeneration	thoái hóa
degenerative	thoái hóa
degeneres	thoái hóa
deglutition	sự cạn kiệt
degradation	suy thoái
degrade	xuống cấp
degrading	xuống cấp
degree	bằng cấp
degrees	độ
degressive	suy thoái
degustation	sự thoái hóa
dehiscence	sự tách nước
dehiscent	không nở
dehort	làm mất tinh thần
dehortation	lời khuyên răn
dehortatory	chê bai
dehumanization	phi nhân hóa
dehumanized	mất nhân tính
dehydrated	mất nước
dehydration	mất nước
dei	dei
deictic	deictic
deictics	pháp thuật
deific	vị thần
deification	thần thánh hóa
deify	phong thần
deign	phong chức
deiist	vị thần
deinocheirus	deinocheirus
deinonychus	deinonychus
deipnosophist	nhà giải mã
deism	thần linh
deist	vị thần
deistical	thần thánh
deities	các vị thần
deity	thần linh
deixis	thiên thần
dejaniras	dejaniras
deject	chán nản
dejected	chán nản
dejectedly	chán nản
dejectedness	sự chán nản
dejection	chán nản
dejeuner	dejeuner
dekagram	dekagram
dekaliter	dekalit
deker	thợ cạo
dekko	dekko
del	xóa
delabrement	giải quyết
delaceration	sự từ chối
delairea	ấu trùng
delaminate	tách lớp
delation	giảm phát
delator	người cho vay nặng lãi
delaware	Delaware
delawarean	người delaware
delay	trì hoãn
delayed	trì hoãn
delayed-action	hành động bị trì hoãn
dele	xóa
delectability	sự ngon lành
delectable	ngon lành
delection	tuyển chọn
delectus	sự ngon miệng
delegacy	đại biểu
delegate	đại biểu
delegating	ủy quyền
delegation	phái đoàn
delenda	người lớn
deleterious	có hại
deletion	xóa
deletory	xóa
delettanteism	chủ nghĩa thanh tú
delf	tinh ranh
delfower	người đánh lạc hướng
delft	đánh lừa
delhi	Delhi
deliberando	cố ý
deliberat	cố ý
deliberate	cố ý
deliberately	thong thả
deliberation	thảo luận
deliberative	thảo luận
delible	có thể ăn được
delicacy	tinh vi
delicat	món ngon
delicate	thanh tú
delicatessen	đặc sản
delice	món ngon
delichon	đồ ăn vặt
deliciae	món ngon
delicious	thơm ngon
deliciously	một cách ngon lành
delicti	món ngon
delicto	món ngon
delictum	ngon miệng
delight	Hân hoan
delighted	vui mừng
delightedly	hân hoan
delightful	thú vị
delightfully	thú vị
delilah	mê tín
delineate	khoanh vùng
delineated	khoanh vùng
delineation	sự phân định
delineative	phác họa
delineavit	đường phân định
delinquency	phạm pháp
delinquent	phạm pháp
deliquation	giao ước
deliquesce	sự tinh tế
deliquescence	sự chậm chạp
deliquescent	mềm nhũn
deliquium	mê sảng
delirant	mê sảng
delire	mê sảng
delirious	mê sảng
deliriously	mê sảng
delirium	mê sảng
delitescence	sự mê sảng
delitescent	mê sảng
deliver	giao
deliverance	sự giải cứu
delivered	đã giao hàng
deliverer	người giao hàng
delivery	vận chuyển
deliveryman	người giao hàng
delivre	giải cứu
dell	địa ngục
delonix	delonix
delphi	cá heo
delphian	cá heo
delphic	bệnh dịch hạch
delphinapterus	cá heo
delphinidae	họ cá heo
delphinium	phi yến
delphinus	cá heo
delta	châu thổ
deltoid	cơ delta
delude	mê lầm
deluge	trận lụt lớn
delusion	ảo tưởng
delusional	ảo tưởng
delusive	ảo tưởng
delusively	ảo tưởng
delusory	ảo tưởng
deluxe	sang trọng
delve	đào sâu
dem	quỷ
demagnetization	khử từ
demagogic	mị dân
demagogue	kẻ mị dân
demagoguery	mị dân
demagogy	mị dân
demain	giữ lại
demand	yêu cầu
demander	người đòi hỏi
demanding	đòi hỏi
demandingly	khắt khe
demands	yêu cầu
demantoid	demantoid
demarcation	ranh giới
demarche	giải giáp
dematiaceae	thuộc họ giáp xác
demavend	yêu cầu
demean	hạ mình
demeaning	hạ thấp phẩm giá
demeanor	thái độ
demel	quỷ dữ
demele	quỷ dữ
demency	sự sa đọa
dementat	người mất trí nhớ
dementate	mất trí nhớ
dementation	mất trí nhớ
demented	điên
dementi	chứng sa sút trí tuệ
dementia	mất trí nhớ
dementiae	chứng sa sút trí tuệ
demerara	demerara
demerit	điểm trừ
demesne	ma quỷ
demeter	demeter
demetrius	thiên thần
demi	á nhân
demiglace	di cư
demigod	á thần
demigration	di cư
demijohn	demijohn
demijour	bán nguyệt
demimondaine	bán nguyệt
demimonde	yêu tinh
demineralization	khử khoáng
demirep	demirep
demise	cái chết của
demised	chết
demisemiquaver	người chết
demission	sa thải
demister	người hủy diệt
demitasse	bãi thải
demiurge	á quân
demiurgus	á thần
demivolt	cắt điện
demobilization	xuất ngũ
demochelys	dân tộc thiểu số
democracy	nền dân chủ
democrat	nhà dân chủ
democratic	dân chủ
democratically	một cách dân chủ
democratization	dân chủ hóa
democrats	những người dân chủ
democritus	dân chủ
demodulation	giải điều chế
demographer	nhà nhân khẩu học
demographic	nhân khẩu học
demography	nhân khẩu học
demoiselle	nữ thần
demolish	phá hủy
demolished	bị phá hủy
demolishment	phá dỡ
demolition	phá dỡ
demon	con quỷ
demon-ridden	bị quỷ ám
demonetization	hủy kiếm tiền
demonetize	hủy kiếm tiền
demoniac	quỷ ám
demoniacal	yêu quái
demoniacally	quỷ quyệt
demonic	ma quỷ
demoninational	quốc gia ma quỷ
demonism	ma quỷ
demonlacal	ma quỷ
demonolatry	ma quỷ
demonology	quỷ học
demonomy	quỷ dữ
demonophobia	chứng sợ quỷ
demonry	ma quỷ
demonship	ma quỷ
demonstrability	khả năng chứng minh
demonstrable	chứng minh được
demonstrably	một cách rõ ràng
demonstrate	chứng minh
demonstrated	chứng minh
demonstrating	thể hiện
demonstration	trình diễn
demonstrative	Biểu tình
demonstratively	biểu tình
demonstrativeness	tính biểu tình
demonstrator	người biểu tình
demonworship	thờ quỷ
demoralization	sự mất tinh thần
demoralize	làm mất tinh thần
demoralized	mất tinh thần
demoralizing	làm mất tinh thần
demos	trình diễn
demosthenes	demosthenes
demosthenic	mất sức
demotic	hạ đẳng
demotion	cách chức
demulcent	nhụt chí
demur	lưỡng lự
demure	đoan Trang
demurely	một cách lịch sự
demureness	nghiêm trang
demurrage	sự dừng lại
demurrer	người từ chối
demurring	từ chối
demythologization	giải thần thoại hóa
demythologized	phi thần thoại hóa
den	cái hang
denary	denary
denate	biến mất
denated	bị biến dạng
denationalization	phi quốc hữu hóa
denaturalize	phi tự nhiên hóa
denaturalized	mất tự nhiên
denaturant	chất biến tính
denature	sự biến tính
denatured	biến tính
dendranthema	dendranthema
dendriform	dạng đuôi gai
dendrite	đuôi gai
dendritic	đuôi gai
dendroaspis	dendroaspis
dendrobium	dendrobium
dendrocalamus	dendrocalamus
dendrocolaptes	dendrocolaptes
dendrocolaptidae	dendrocolaptidae
dendroctonus	đuôi gai
dendroica	dendroica
dendroid	đuôi gai
dendrolagus	đuôi gai
dendromecon	dendromcon
denfer	từ chối
dengue	sốt xuất huyết
deniable	có thể phủ nhận
denial	từ chối
denied	từ chối
denier	người từ chối
denigme	từ chối
denigrate	gièm pha
denigration	sự gièm pha
denim	vải bò
denisonia	denisonia
denization	phủ nhận
denizen	cư dân
denizens	cư dân
denker	thợ cạo
denman	denman
denmark	Đan mạch
dennstaedtia	dennstaedtia
dennstaedtiaceae	dennstaedtiaceae
denominate	mệnh giá
denomination	mệnh giá
denominational	giáo phái
denominationally	giáo phái
denominator	mẫu số
denotable	biểu thị
denotative	ký hiệu
denotatum	dấu hiệu
denote	chứng tỏ
denoted	biểu thị
denouement	biểu thị
denounce	tố cáo
denouncement	tố cáo
dense	ngu độn
densely	dày đặc
denseness	mật độ
densimeter	máy đo mật độ
densitometer	mật độ kế
densitometry	phép đo mật độ
density	Tỉ trọng
dent	sứt mẻ
dental	nha khoa
dentaria	răng miệng
dentate	có răng
dentes	vết lõm
denticle	răng cưa
denticulate	có răng cưa
denticulated	có răng cưa
dentiform	răng giả
dentifrice	kem đánh răng
dentine	ngà răng
dentist	nha sĩ
dentistry	nha khoa
dents	vết lõm
denture	răng giả
denudation	bóc trần
denude	trần trụi
denuded	trần trụi
denunciation	tố cáo
denunciatory	tố cáo
denver	denver
deny	từ chối
denying	từ chối
deo	deo
deobstruct	giải tỏa
deobstruent	làm thông thoáng
deodand	khử mùi
deodar	khử mùi
deodorant	chất khử mùi
deodorization	khử mùi
deodorize	khử mùi
deodorized	khử mùi
deodorizer	khử mùi
deodorizing	khử mùi
deontology	bản thể học
deoppilate	làm rụng lông
deoppilation	làm rụng lông
deorganization	tổ chức lại
deorganize	sắp xếp lại
deos	deos
deosculation	khử độc
deoxidization	khử oxy
deoxyribose	deoxyribose
deparia	người đẹp
depart	khởi hành
departed	ra đi
departer	người khởi hành
departing	khởi hành
departing(a)	khởi hành (a)
department	phòng
departmental	phòng ban
departmentally	theo bộ phận
departure	sự khởi hành
depee	sâu
depend	phụ thuộc
dependability	độ tin cậy
dependable	đáng tin cậy
dependant	sự phụ thuộc
depended	phụ thuộc
dependence	sự phụ thuộc
dependency	phụ thuộc
dependent	sự phụ thuộc
depending	tùy
deperdition	sự tuyệt vọng
dephlegmation	giảm đờm
depict	miêu tả
depicted	miêu tả
depicting	miêu tả
depiction	miêu tả
depictment	miêu tả
depicture	miêu tả
depilation	rụng lông
depilatory	thuốc làm rụng lông
depilous	làm rụng lông
depletable	cạn kiệt
depleted	cạn kiệt
depletion	cạn kiệt
deplorable	thương tâm
deplorably	đáng trách
deplore	lấy làm tiếc
deploy	triển khai
deployment	triển khai
depond	phụ thuộc vào
depone	hủy hoại
deponent	cung khai
depopulate	giảm dân số
depopulated	giảm dân số
depopulation	giảm dân số
deport	trục xuất
deportation	trục xuất
deportment	cách cư xử
deposal	ký gửi
depose	phế truất
deposed	phế truất
deposit	tiền gửi
depositary	ký gửi
deposition	lắng đọng
depositor	người gửi tiền
depository	lưu ký
depot	kho chứa
depravation	sa đọa
deprave	sa đọa
depraved	sa đọa
depravement	sự suy đồi
depravity	sự trụy lạc
deprecate	Ko tán thành
deprecated	không dùng nữa
deprecation	phản đối
deprecatory	phản đối
depreciate	khấu hao
depreciated	khấu hao
depreciating	mất giá
depreciation	khấu hao
depredation	tước đoạt
depredator	kẻ cướp bóc
deprehension	sự suy sụp
depress	chán nản
depressant	trầm cảm
depressed	trầm cảm
depressing	chán nản
depressingly	chán nản
depression	trầm cảm
depressive	trầm cảm
depressor	trầm cảm
deprivation	tước đoạt
deprive	tước đoạt
deprived	tước đoạt
deprivement	tước đoạt
depth	chiều sâu
depurate	thoái hóa
depurative	thuốc tẩy
depuratory	tẩy uế
deputation	đại biểu
depute	đại biểu
deputies	đại biểu
deputy	phó
deputy(a)	phó(a)
dequantitate	hạ bệ
dequet	mặc quần áo
der	der
derail	trật bánh
derailment	trật bánh
derange	loạn trí
deranged	loạn trí
derangement	loạn trí
derby	trận giao hữu
deregulation	bãi bỏ quy định
derelict	vô chủ
dereliction	vô chủ
deride	chế nhạo
derision	chế giễu
derisive	giễu cợt
derisively	chế nhạo
derisory	chế giễu
derivable	có thể dẫn xuất được
derivation	nguồn gốc
derivational	phái sinh
derivative	phát sinh
derive	lấy được
derived	nguồn gốc
deriving	xuất phát
derm	da
dermacentor	da liễu
dermal	ngoài da
dermaptera	bộ da
dermatitis	viêm da
dermatobia	bệnh da liễu
dermatoid	da liễu
dermatologic	da liễu
dermatologist	bác sĩ da liễu
dermatology	da liễu
dermatome	da liễu
dermestidae	dermestidae
dermis	hạ bì
dermochelyidae	dermochelyidae
dermoptera	bọ cánh cứng
dernier	dernier
derobee	derobee
derogate	xúc phạm
derogation	sự xúc phạm
derogative	xúc phạm
derogatory	xúc phạm
derr	nói sai
derri	đê mê
derrick	cần cẩu
derring-do	hành động gan dạ
derringdo	hành động gan dạ
derringer	người đánh lừa
derris	quả cầu gai
derry	quả mọng
derv	derv
dervish	tu sĩ
des	des
desaeuvre	giải cứu
desagrement	sự phân chia
desalination	khử muối
descant	ca
descartes	descartes
descend	đi xuống
descendant	hậu duệ
descendants	hậu duệ
descendent	hậu duệ
descending	giảm dần
descending(a)	giảm dần (a)
descension	đi xuống
descensus	giảm dân số
descent	hạ xuống
describable	Có thể mô tả
describe	mô tả
described	mô tả
description	Sự miêu tả
descriptive	mô tả
descriptively	mô tả
descry	chê bai
descurainia	sa mạc
desecrate	mạo phạm
desecrated	mạo phạm
desecrating	mạo phạm
desecration	mạo phạm
desegrated	không phân biệt
desensitization	giải mẫn cảm
desensitized	giải mẫn cảm
desensitizing	giải mẫn cảm
desert	sa mạc
deserted	hoang vu
deserter	lính đào ngũ
desertful	sa mạc
deserting	đào ngũ
desertion	đào ngũ
desertless	vắng vẻ
deserve	xứng đáng
deserved	xứng đáng
deservedly	xứng đáng
deserving	xứng đáng
deserving(p)	xứng đáng(p)
deservingness	sự xứng đáng
desespoic	tuyệt vọng
desespoir	tuyệt vọng
deshabille	phế vật
desiccant	chất hút ẩm
desiccate	phơi khô
desiccated	sấy khô
desiccation	khô hạn
desiccative	hút ẩm
desiderate	mong muốn
desideratum	Mong muốn đạt được
design	thiết kế
designate	chỉ định
designate(ip)	chỉ định (ip)
designated	chỉ định
designation	chỉ định
designative	chỉ định
designatum	chỉ định
designed	được thiết kế
designed(a)	được thiết kế (a)
designedly	thiết kế
designer	nhà thiết kế
designer(a)	nhà thiết kế (a)
designing	thiết kế
designless	không thiết kế
desillusionner	người ảo tưởng
desinence	sự tuyệt vọng
desipere	tuyệt vọng
desirability	sự thèm khát
desirable	mong muốn
desirableness	sự mong muốn
desire	sự mong muốn
desired	mong muốn
desiring	ham muốn
desirous	ham muốn
desist	hủy bỏ
desistance	kháng cự
desk	bàn làm việc
desktop	máy tính để bàn
desmanthus	con kiến
desmid	bỏ rơi
desmidiaceae	desmidiaceae
desmidium	desmidi
desmodium	khử modium
desmodontidae	desmodontidae
desmodus	giải mã
desmograthus	desmograthus
desobligeant	trái nghĩa vụ
desolate	hoang vắng
desolately	hoang vắng
desolating	tan hoang
desolation	phiền muộn
desole	bỏ hoang
desorient	làm mất phương hướng
desorption	giải hấp
desous	khử trùng
despair	tuyệt vọng
despairing	tuyệt vọng
despairingly	tuyệt vọng
despatch	công văn
despect	coi thường
desperado	NGƯỜI LIỀU MẠNG
desperandum	tuyệt vọng
desperate	tuyệt vọng
desperately	tuyệt vọng
desperation	tuyệt vọng
despicable	đáng khinh
despicably	đáng khinh bỉ
despiciency	sự hèn hạ
despisal	coi thường
despise	coi thường
despised	bị coi thường
despisedness	sự coi thường
despisement	coi thường
despite	cho dù
despiteful	bất chấp
despitefully	bất chấp
despoil	tước đoạt
despoiled	bị tước đoạt
despond	chán nản
despondency	tuyệt vọng
despondent	chán nản
desponding	chán nản
despot	bạo chúa
despotic	chuyên chế
despotical	chuyên quyền
despotism	chế độ chuyên quyền
desprit	giải thoát
despritepigram	despritepigram
despumate	hạ nhục
desquamation	bong vảy
dess	tuyệt vọng
dessai	giải tán
